1,FEC ID,state,STATE ABBREVIATION,"LAST NAME,  FIRST",individual_party,GENERAL RESULTS,TOTAL VOTES #,vote_pct,is_winner,
495,P20002671,Virginia,VA,"Johnson, Gary",LIB,31216,,0.81,FALSE,
496,P20004685,Virginia,VA,"Goode, Virgil",CON,13058,,0.34,FALSE,
497,P20003984,Virginia,VA,"Stein, Jill",GRE,8627,,0.22,FALSE,
498,n/a,Virginia,VA,Scattered,W,7151,,0.19,FALSE,
505,P80003338,Washington,WA,"Obama, Barack",D,1755396,,56.16,TRUE,
506,P80003353,Washington,WA,"Romney, Mitt",R,1290670,,41.29,FALSE,
507,P20002671,Washington,WA,"Johnson, Gary",LIB,42202,,1.35,FALSE,
508,P20003984,Washington,WA,"Stein, Jill",GRE,20928,,0.67,FALSE,
509,P20004685,Washington,WA,"Goode, Virgil",CON,8851,,0.28,FALSE,
510,P20004263,Washington,WA,"Anderson, Ross C. ""Rocky""",JUS,4946,,0.16,FALSE,
514,P80003353,West Virginia,WV,"Romney, Mitt",R,417655,,62.3,TRUE,
515,P80003338,West Virginia,WV,"Obama, Barack",D,238269,,35.54,FALSE,
516,P20002671,West Virginia,WV,"Johnson, Gary",LIB,6302,,0.94,FALSE,
517,P20003984,West Virginia,WV,"Stein, Jill",MTP,4406,,0.66,FALSE,
518,P20002424,West Virginia,WV,"Terry, Randall",NPA,3806,,0.57,FALSE,
520,P80003338,Wisconsin,WI,"Obama, Barack",D,1620985,,52.83,TRUE,
521,P80003353,Wisconsin,WI,"Romney, Mitt",R,1407966,,45.89,FALSE,
522,P20002671,Wisconsin,WI,"Johnson, Gary",IND,20439,,0.67,FALSE,
523,P20003984,Wisconsin,WI,"Stein, Jill",IND,7665,,0.25,FALSE,
524,n/a,Wisconsin,WI,Scattered,W,5170,,0.17,FALSE,
525,P20004685,Wisconsin,WI,"Goode, Virgil",CON,4930,,0.16,FALSE,
531,P80003353,Wyoming,WY,"Romney, Mitt",R,170962,,68.64,TRUE,
532,P80003338,Wyoming,WY,"Obama, Barack",D,69286,,27.82,FALSE,
533,P20002671,Wyoming,WY,"Johnson, Gary",LIB,5326,,2.14,FALSE,
534,n/a,Wyoming,WY,Scattered,W,2035,,0.82,FALSE,
535,P20004685,Wyoming,WY,"Goode, Virgil H.",CON,1452,,0.58,FALSE,
